"";"n";"fig1_main_rows_removed";"fig1c_lr_cleaned";"mon6_dg";"nork62398";"p6_smith_dg";"shep_071795";"unknown26"
"54";53;1,00393700787402;0,346153846153846;0,958333333333333;0,15;0,270833333333333;1,30909090909091;1,00520833333333
"55";54;1,00393700787402;0,324175824175824;0,970238095238095;0,216666666666667;0,326388888888889;1,30909090909091;0,994791666666667
"56";55;1,00393700787402;0,291208791208791;0,958333333333333;0,15;0,284722222222222;1,30909090909091;1,00520833333333
"57";56;1,00393700787402;0,302197802197802;0,946428571428571;0,15;0,284722222222222;1,30909090909091;1,00520833333333
"58";57;1,00393700787402;0,357142857142857;0,946428571428571;0,25;0,229166666666667;1,30909090909091;0,973958333333333
"59";58;1,00393700787402;0,324175824175824;0,946428571428571;0,25;0,145833333333333;1,30909090909091;0,994791666666667
"60";59;1,00393700787402;0,258241758241758;0,946428571428571;0,183333333333333;0,1875;1,30909090909091;0,994791666666667
"61";60;1,00393700787402;0,225274725274725;0,982142857142857;0,05;0,243055555555556;1,30909090909091;0,953125
"62";61;1,00393700787402;0,225274725274725;0,970238095238095;0,05;0,173611111111111;1,30909090909091;0,963541666666667
"63";62;1,00393700787402;0,236263736263736;0,982142857142857;0,0166666666666667;0,159722222222222;1,30909090909091;0,953125
"64";63;1,00393700787402;0,28021978021978;0,970238095238095;0,05;0,131944444444444;1,30909090909091;0,994791666666667
"65";64;1,00393700787402;0,291208791208791;0,994047619047619;0,15;0,131944444444444;1,30909090909091;1,00520833333333
"66";65;1,00393700787402;0,291208791208791;1,00595238095238;0,316666666666667;0,145833333333333;1,30909090909091;0,994791666666667
"67";66;1,00393700787402;0,236263736263736;1,00595238095238;0,283333333333333;0,173611111111111;1,30909090909091;0,973958333333333
"68";67;1,00393700787402;0,247252747252747;1,00595238095238;0,116666666666667;0,173611111111111;1,30909090909091;1,00520833333333
"69";68;1,00393700787402;0,181318681318681;1,00595238095238;0,0166666666666667;0,173611111111111;1,30909090909091;1,00520833333333
"70";69;1,00393700787402;0,126373626373626;1,00595238095238;0,0833333333333333;0,145833333333333;1,27272727272727;1,00520833333333
"71";70;1,00393700787402;0,0714285714285714;1,00595238095238;0,15;0,173611111111111;1,29090909090909;0,963541666666667
"72";71;1,00393700787402;0,0494505494505495;1,00595238095238;0,15;0,0902777777777778;1,29090909090909;0,890625
"73";72;1,00393700787402;0,0604395604395604;1,00595238095238;0,283333333333333;0,0625;1,27272727272727;0,921875
"74";73;1,00393700787402;0,17032967032967;1,00595238095238;0,25;0,0902777777777778;1,27272727272727;0,932291666666667
"75";74;1,00393700787402;0,137362637362637;0,970238095238095;0,216666666666667;0,0625;1,30909090909091;0,942708333333333
"76";75;1,00393700787402;0,115384615384615;0,970238095238095;0,216666666666667;0,104166666666667;1,27272727272727;0,932291666666667
"77";76;1,00393700787402;0,137362637362637;0,970238095238095;0,283333333333333;0,118055555555556;1,25454545454545;0,890625
"78";77;1,00393700787402;0,192307692307692;0,970238095238095;0,283333333333333;0,0902777777777778;1,25454545454545;0,776041666666667
"79";78;1,00393700787402;0,203296703296703;0,958333333333333;0,216666666666667;0,131944444444444;1,27272727272727;0,796875
"80";79;1,00393700787402;0,192307692307692;0,982142857142857;0,15;0,201388888888889;1,29090909090909;0,765625
"81";80;1,00393700787402;0,225274725274725;0,994047619047619;0,15;0,118055555555556;1,29090909090909;0,692708333333333
"82";81;1,00393700787402;0,247252747252747;1,00595238095238;0,15;0,118055555555556;1,25454545454545;0,682291666666667
"83";82;1,00393700787402;0,181318681318681;0,982142857142857;0,116666666666667;0,118055555555556;1,27272727272727;0,588541666666667
